prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1953.0,897.0,0.019530000000000002,0.02691,0.04644
1953.0,838.0,0.019530000000000002,0.02514,0.04467
1953.0,883.0,0.019530000000000002,0.02649,0.046020000000000005
1953.0,873.0,0.019530000000000002,0.026189999999999998,0.04572
1953.0,776.0,0.019530000000000002,0.02328,0.04281
1953.0,742.0,0.019530000000000002,0.02226,0.04179
1953.0,899.0,0.019530000000000002,0.026969999999999997,0.0465
1953.0,753.0,0.019530000000000002,0.02259,0.042120000000000005
1953.0,779.0,0.019530000000000002,0.02337,0.0429
1953.0,769.0,0.019530000000000002,0.02307,0.0426
1953.0,829.0,0.019530000000000002,0.024869999999999996,0.044399999999999995
1953.0,736.0,0.019530000000000002,0.02208,0.04161
1953.0,901.0,0.019530000000000002,0.02703,0.046560000000000004
1953.0,873.0,0.019530000000000002,0.026189999999999998,0.04572
1953.0,730.0,0.019530000000000002,0.0219,0.04143
1953.0,867.0,0.019530000000000002,0.02601,0.04554
1953.0,837.0,0.019530000000000002,0.02511,0.04464
1953.0,699.0,0.019530000000000002,0.02097,0.0405
1953.0,879.0,0.019530000000000002,0.026369999999999998,0.045899999999999996
1953.0,929.0,0.019530000000000002,0.02787,0.0474
1953.0,796.0,0.019530000000000002,0.02388,0.043410000000000004
1953.0,617.0,0.019530000000000002,0.01851,0.038040000000000004
1953.0,728.0,0.019530000000000002,0.02184,0.041370000000000004
1953.0,799.0,0.019530000000000002,0.023969999999999998,0.0435
1953.0,730.0,0.019530000000000002,0.0219,0.04143
1953.0,867.0,0.019530000000000002,0.02601,0.04554
1953.0,788.0,0.019530000000000002,0.02364,0.04317
1953.0,893.0,0.019530000000000002,0.026789999999999998,0.04632
1953.0,737.0,0.019530000000000002,0.022109999999999998,0.041639999999999996
1953.0,819.0,0.019530000000000002,0.02457,0.0441
1953.0,996.0,0.019530000000000002,0.02988,0.04941
1953.0,742.0,0.019530000000000002,0.02226,0.04179
1953.0,915.0,0.019530000000000002,0.02745,0.04698
1953.0,825.0,0.019530000000000002,0.02475,0.04428
1953.0,712.0,0.019530000000000002,0.02136,0.04089
1953.0,704.0,0.019530000000000002,0.021119999999999996,0.04065
1953.0,798.0,0.019530000000000002,0.023939999999999996,0.043469999999999995
1953.0,876.0,0.019530000000000002,0.026279999999999998,0.045810000000000003
1953.0,777.0,0.019530000000000002,0.023309999999999997,0.04284
1953.0,915.0,0.019530000000000002,0.02745,0.04698
1953.0,747.0,0.019530000000000002,0.02241,0.041940000000000005
1953.0,715.0,0.019530000000000002,0.02145,0.04098
1953.0,732.0,0.019530000000000002,0.02196,0.04149
1953.0,747.0,0.019530000000000002,0.02241,0.041940000000000005
1953.0,857.0,0.019530000000000002,0.025709999999999997,0.04524
1953.0,729.0,0.019530000000000002,0.021869999999999997,0.0414
1953.0,931.0,0.019530000000000002,0.02793,0.04746
1953.0,917.0,0.019530000000000002,0.02751,0.04704
1953.0,853.0,0.019530000000000002,0.025589999999999998,0.04512
1953.0,753.0,0.019530000000000002,0.02259,0.042120000000000005
1953.0,716.0,0.019530000000000002,0.02148,0.041010000000000005
1953.0,843.0,0.019530000000000002,0.02529,0.04482
1953.0,696.0,0.019530000000000002,0.02088,0.04041
1953.0,843.0,0.019530000000000002,0.02529,0.04482
1953.0,835.0,0.019530000000000002,0.02505,0.04458
1953.0,890.0,0.019530000000000002,0.026699999999999998,0.04623
1953.0,846.0,0.019530000000000002,0.02538,0.044910000000000005
1953.0,907.0,0.019530000000000002,0.027209999999999998,0.046740000000000004
1953.0,1028.0,0.019530000000000002,0.03084,0.05037
1953.0,787.0,0.019530000000000002,0.02361,0.04314
1953.0,839.0,0.019530000000000002,0.025169999999999998,0.044700000000000004
1953.0,785.0,0.019530000000000002,0.02355,0.04308000000000001
1953.0,782.0,0.019530000000000002,0.02346,0.04299
1953.0,936.0,0.019530000000000002,0.028079999999999997,0.04761
1953.0,889.0,0.019530000000000002,0.02667,0.046200000000000005
1953.0,708.0,0.019530000000000002,0.02124,0.04077
1953.0,890.0,0.019530000000000002,0.026699999999999998,0.04623
1953.0,892.0,0.019530000000000002,0.02676,0.04629
1953.0,801.0,0.019530000000000002,0.02403,0.04356
1953.0,720.0,0.019530000000000002,0.021599999999999998,0.04113
1953.0,850.0,0.019530000000000002,0.0255,0.04503
1953.0,998.0,0.019530000000000002,0.029939999999999998,0.04947
1953.0,782.0,0.019530000000000002,0.02346,0.04299
1953.0,773.0,0.019530000000000002,0.02319,0.04272
1953.0,813.0,0.019530000000000002,0.024390000000000002,0.04392
1953.0,811.0,0.019530000000000002,0.024329999999999997,0.043859999999999996
1953.0,724.0,0.019530000000000002,0.02172,0.04125
1953.0,739.0,0.019530000000000002,0.02217,0.0417
1953.0,779.0,0.019530000000000002,0.02337,0.0429
1953.0,780.0,0.019530000000000002,0.023399999999999997,0.042929999999999996
1953.0,705.0,0.019530000000000002,0.02115,0.04068
1953.0,784.0,0.019530000000000002,0.02352,0.043050000000000005
1953.0,807.0,0.019530000000000002,0.024210000000000002,0.04374
1953.0,893.0,0.019530000000000002,0.026789999999999998,0.04632
1953.0,1005.0,0.019530000000000002,0.03015,0.04968
1953.0,729.0,0.019530000000000002,0.021869999999999997,0.0414
1953.0,867.0,0.019530000000000002,0.02601,0.04554
1953.0,884.0,0.019530000000000002,0.02652,0.04605
1953.0,754.0,0.019530000000000002,0.022619999999999998,0.04215
1953.0,888.0,0.019530000000000002,0.02664,0.04617
1953.0,902.0,0.019530000000000002,0.027059999999999997,0.04659
1953.0,685.0,0.019530000000000002,0.020550000000000002,0.040080000000000005
1953.0,698.0,0.019530000000000002,0.020939999999999997,0.04047
1953.0,890.0,0.019530000000000002,0.026699999999999998,0.04623
1953.0,740.0,0.019530000000000002,0.0222,0.04173
1953.0,1049.0,0.019530000000000002,0.03147,0.051000000000000004
1953.0,695.0,0.019530000000000002,0.020849999999999997,0.04038
1953.0,894.0,0.019530000000000002,0.02682,0.04635
1953.0,852.0,0.019530000000000002,0.02556,0.045090000000000005
1953.0,1023.0,0.019530000000000002,0.03069,0.05022
