prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
995.0,241.0,0.029849999999999998,0.014459999999999999,0.044309999999999995
995.0,224.0,0.029849999999999998,0.013439999999999999,0.043289999999999995
995.0,265.0,0.029849999999999998,0.015899999999999997,0.04575
995.0,254.0,0.029849999999999998,0.01524,0.04509
995.0,317.0,0.029849999999999998,0.01902,0.04887
995.0,266.0,0.029849999999999998,0.01596,0.04581
995.0,347.0,0.029849999999999998,0.02082,0.05067
995.0,163.0,0.029849999999999998,0.009779999999999999,0.03963
995.0,338.0,0.029849999999999998,0.020279999999999996,0.050129999999999994
995.0,250.0,0.029849999999999998,0.015,0.04485
995.0,221.0,0.029849999999999998,0.01326,0.043109999999999996
995.0,285.0,0.029849999999999998,0.017099999999999997,0.04694999999999999
995.0,234.0,0.029849999999999998,0.014039999999999999,0.04389
995.0,169.0,0.029849999999999998,0.010139999999999998,0.03999
995.0,321.0,0.029849999999999998,0.01926,0.04911
995.0,241.0,0.029849999999999998,0.014459999999999999,0.044309999999999995
995.0,166.0,0.029849999999999998,0.009959999999999998,0.03981
995.0,202.0,0.029849999999999998,0.012119999999999999,0.04196999999999999
995.0,198.0,0.029849999999999998,0.011879999999999998,0.041729999999999996
995.0,163.0,0.029849999999999998,0.009779999999999999,0.03963
995.0,216.0,0.029849999999999998,0.01296,0.04281
995.0,207.0,0.029849999999999998,0.01242,0.04227
995.0,138.0,0.029849999999999998,0.00828,0.03813
995.0,184.0,0.029849999999999998,0.01104,0.040889999999999996
995.0,969.0,0.029849999999999998,0.05814,0.08799
995.0,312.0,0.029849999999999998,0.01872,0.04857
995.0,217.0,0.029849999999999998,0.01302,0.04287
995.0,271.0,0.029849999999999998,0.016259999999999997,0.04611
995.0,313.0,0.029849999999999998,0.018779999999999998,0.04862999999999999
995.0,262.0,0.029849999999999998,0.015719999999999998,0.04557
995.0,272.0,0.029849999999999998,0.01632,0.04617
995.0,292.0,0.029849999999999998,0.01752,0.047369999999999995
995.0,275.0,0.029849999999999998,0.0165,0.04635
995.0,278.0,0.029849999999999998,0.01668,0.04653
995.0,252.0,0.029849999999999998,0.01512,0.044969999999999996
995.0,262.0,0.029849999999999998,0.015719999999999998,0.04557
995.0,182.0,0.029849999999999998,0.01092,0.04077
995.0,192.0,0.029849999999999998,0.011519999999999999,0.04137
995.0,296.0,0.029849999999999998,0.017759999999999998,0.04761
995.0,183.0,0.029849999999999998,0.01098,0.04083
995.0,188.0,0.029849999999999998,0.01128,0.04113
995.0,182.0,0.029849999999999998,0.01092,0.04077
995.0,239.0,0.029849999999999998,0.01434,0.04419
995.0,235.0,0.029849999999999998,0.0141,0.043949999999999996
995.0,257.0,0.029849999999999998,0.01542,0.04527
995.0,213.0,0.029849999999999998,0.01278,0.04263
995.0,241.0,0.029849999999999998,0.014459999999999999,0.044309999999999995
995.0,373.0,0.029849999999999998,0.02238,0.05223
995.0,313.0,0.029849999999999998,0.018779999999999998,0.04862999999999999
995.0,242.0,0.029849999999999998,0.01452,0.04437
995.0,219.0,0.029849999999999998,0.013139999999999999,0.04299
995.0,271.0,0.029849999999999998,0.016259999999999997,0.04611
995.0,235.0,0.029849999999999998,0.0141,0.043949999999999996
995.0,353.0,0.029849999999999998,0.02118,0.05103
995.0,282.0,0.029849999999999998,0.016919999999999998,0.04676999999999999
995.0,209.0,0.029849999999999998,0.012539999999999999,0.04239
995.0,300.0,0.029849999999999998,0.018,0.04785
995.0,230.0,0.029849999999999998,0.0138,0.043649999999999994
995.0,240.0,0.029849999999999998,0.014399999999999998,0.04425
995.0,291.0,0.029849999999999998,0.01746,0.04731
995.0,241.0,0.029849999999999998,0.014459999999999999,0.044309999999999995
995.0,266.0,0.029849999999999998,0.01596,0.04581
995.0,244.0,0.029849999999999998,0.014639999999999999,0.044489999999999995
995.0,352.0,0.029849999999999998,0.021119999999999996,0.050969999999999994
995.0,295.0,0.029849999999999998,0.0177,0.047549999999999995
995.0,214.0,0.029849999999999998,0.01284,0.04269
995.0,174.0,0.029849999999999998,0.01044,0.04029
995.0,284.0,0.029849999999999998,0.01704,0.04689
995.0,243.0,0.029849999999999998,0.01458,0.04443
995.0,192.0,0.029849999999999998,0.011519999999999999,0.04137
995.0,186.0,0.029849999999999998,0.01116,0.04101
995.0,343.0,0.029849999999999998,0.020579999999999998,0.050429999999999996
995.0,270.0,0.029849999999999998,0.0162,0.046049999999999994
995.0,192.0,0.029849999999999998,0.011519999999999999,0.04137
995.0,294.0,0.029849999999999998,0.01764,0.04749
995.0,236.0,0.029849999999999998,0.01416,0.04401
995.0,227.0,0.029849999999999998,0.013619999999999998,0.043469999999999995
995.0,311.0,0.029849999999999998,0.01866,0.04851
995.0,373.0,0.029849999999999998,0.02238,0.05223
995.0,163.0,0.029849999999999998,0.009779999999999999,0.03963
995.0,325.0,0.029849999999999998,0.0195,0.04935
995.0,285.0,0.029849999999999998,0.017099999999999997,0.04694999999999999
995.0,298.0,0.029849999999999998,0.01788,0.047729999999999995
995.0,213.0,0.029849999999999998,0.01278,0.04263
995.0,297.0,0.029849999999999998,0.01782,0.04767
995.0,290.0,0.029849999999999998,0.0174,0.04725
995.0,217.0,0.029849999999999998,0.01302,0.04287
995.0,236.0,0.029849999999999998,0.01416,0.04401
995.0,290.0,0.029849999999999998,0.0174,0.04725
995.0,254.0,0.029849999999999998,0.01524,0.04509
995.0,334.0,0.029849999999999998,0.02004,0.04989
995.0,247.0,0.029849999999999998,0.01482,0.04467
995.0,206.0,0.029849999999999998,0.01236,0.04221
995.0,217.0,0.029849999999999998,0.01302,0.04287
995.0,342.0,0.029849999999999998,0.02052,0.05037
995.0,272.0,0.029849999999999998,0.01632,0.04617
995.0,164.0,0.029849999999999998,0.00984,0.039689999999999996
995.0,208.0,0.029849999999999998,0.01248,0.04233
995.0,247.0,0.029849999999999998,0.01482,0.04467
995.0,444.0,0.029849999999999998,0.02664,0.05649
